-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg       CPU Mem  Self CPU Mem       XPU Mem  Self XPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us      99.040us         0.33%      99.040us       8.253us           0 b           0 b           0 b           0 b            12  
at::native::xpu::impl::DispatchSoftmaxBackwardKernel...         0.00%       0.000us         0.00%       0.000us       0.000us      95.840us         0.32%      95.840us       3.993us           0 b           0 b           0 b           0 b            24  
at::native::xpu::impl::DispatchSoftmaxForwardKernelF...         0.00%       0.000us         0.00%       0.000us       0.000us      77.440us         0.26%      77.440us       6.453us           0 b           0 b           0 b           0 b            12  
at::native::xpu::impl::DispatchSoftmaxBackwardKernel...         0.00%       0.000us         0.00%       0.000us       0.000us      67.520us         0.23%      67.520us       5.627us           0 b           0 b           0 b           0 b            12  
at::native::xpu::CatArrayBatchedCopyKernelFunctor<fl...         0.00%       0.000us         0.00%       0.000us       0.000us      47.360us         0.16%      47.360us       3.947us           0 b           0 b           0 b           0 b            12  
                            Memcpy H2D (HOST -> DEVICE)         0.00%       0.000us         0.00%       0.000us       0.000us      40.800us         0.14%      40.800us       1.700us           0 b           0 b           0 b           0 b            24  
                                     aten::_log_softmax         0.02%     205.930us         0.02%     254.769us     127.384us      36.320us         0.12%      36.320us      18.160us           0 b           0 b       2.50 Mb       2.50 Mb             2  
at::native::xpu::impl::SpatialSoftmaxForwardKernelFu...         0.00%       0.000us         0.00%       0.000us       0.000us      36.320us         0.12%      36.320us      18.160us           0 b           0 b           0 b           0 b             2  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      34.560us         0.12%      34.560us      17.280us           0 b           0 b           0 b           0 b             2  
                       aten::_log_softmax_backward_data         0.02%     225.494us         0.02%     276.794us     138.397us      21.600us         0.07%      21.600us      10.800us           0 b           0 b       2.50 Mb       2.50 Mb             2  
at::native::xpu::impl::SpatialSoftmaxBackwardKernelF...         0.00%       0.000us         0.00%       0.000us       0.000us      21.600us         0.07%      21.600us      10.800us           0 b           0 b           0 b           0 b             2  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us      18.880us         0.06%      18.880us       9.440us           0 b           0 b           0 b           0 b             2  
                                              aten::neg         0.02%     212.408us         0.03%     354.414us      88.604us      18.720us         0.06%      18.720us       4.680us           0 b           0 b       2.00 Kb       2.00 Kb             4  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      18.720us         0.06%      18.720us       4.680us           0 b           0 b           0 b           0 b             4  
                                              aten::div         0.04%     430.112us         0.05%     601.994us     150.498us      18.720us         0.06%      18.720us       4.680us           0 b           0 b       2.00 Kb       2.00 Kb             4  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      18.720us         0.06%      18.720us       4.680us           0 b           0 b           0 b           0 b             4  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         0.05%      16.000us       8.000us           0 b           0 b           0 b           0 b             2  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us       9.120us         0.03%       9.120us       4.560us           0 b           0 b           0 b           0 b             2  
                                          ProfilerStep*        32.99%     376.202ms        80.64%     919.596ms     459.798ms       0.000us         0.00%      10.781ms       5.390ms           0 b      -2.63 Mb     256.00 Kb     -36.79 Mb             2  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         4.54%      51.819ms        16.82%     191.828ms      95.914ms       0.000us         0.00%       0.000us       0.000us       2.62 Mb           0 b           0 b           0 b             2  
                                           aten::select         9.11%     103.897ms         9.21%     105.045ms     328.266us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           320  
                                       aten::as_strided         0.20%       2.323ms         0.20%       2.323ms       0.918us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2532  
                                            aten::stack         1.03%      11.719ms         3.13%      35.654ms       8.913ms       0.000us         0.00%       0.000us       0.000us       2.62 Mb           0 b           0 b           0 b             4  
                                    torch_ipex::cat_cpu         0.00%       7.666us         2.10%      23.915ms       5.979ms       0.000us         0.00%       0.000us       0.000us       2.62 Mb           0 b           0 b           0 b             4  
                                torch_ipex::cat_out_cpu         2.09%      23.875ms         2.10%      23.908ms       5.977ms       0.000us         0.00%       0.000us       0.000us       2.62 Mb           0 b           0 b           0 b             4  
                                            aten::empty         0.18%       2.101ms         0.18%       2.101ms       1.026us       0.000us         0.00%       0.000us       0.000us       2.62 Mb       2.62 Mb     604.21 Mb     604.21 Mb          2048  
                                             aten::view         0.16%       1.794ms         0.16%       1.794ms       1.249us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1436  
                                               aten::to         3.21%      36.653ms         8.04%      91.686ms     245.151us       0.000us         0.00%     236.960us       0.634us       1.44 Kb           0 b       2.62 Mb           0 b           374  
                                         aten::_to_copy         4.68%      53.361ms         4.83%      55.034ms     147.941us       0.000us         0.00%     236.960us       0.637us       1.44 Kb          16 b       2.62 Mb           0 b           372  
                                    aten::empty_strided         0.06%     669.743us         0.06%     669.743us       1.091us       0.000us         0.00%       0.000us       0.000us       1.42 Kb       1.42 Kb     145.67 Mb     145.67 Mb           614  
                                     urEnqueueUSMMemcpy         0.12%       1.348ms         0.12%       1.348ms      48.142us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            28  
                     Optimizer.zero_grad#Adam.zero_grad         0.06%     702.440us         0.06%     702.440us     351.220us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -362.90 Mb    -362.90 Mb             2  
                        DistributedDataParallel.forward         7.82%      89.213ms        20.82%     237.386ms     118.693ms       0.000us         0.00%       7.668ms       3.834ms           0 b           0 b     394.82 Mb    -280.75 Mb             2  
                                        aten::transpose         0.20%       2.319ms         0.26%       2.999ms       2.265us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1324  
                                           aten::linear         2.52%      28.760ms         6.56%      74.848ms     567.028us       0.000us         0.00%       4.689ms      35.526us           0 b           0 b     208.25 Mb           0 b           132  
                                          aten::reshape         0.11%       1.290ms         0.65%       7.389ms       7.828us       0.000us         0.00%     387.520us       0.411us           0 b           0 b     131.25 Mb           0 b           944  
                                                aten::t         0.09%       1.049ms         0.20%       2.249ms       3.428us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           656  
                                            aten::addmm         0.48%       5.471ms         3.17%      36.148ms     334.707us       0.000us         0.00%       3.462ms      32.059us           0 b           0 b     115.75 Mb     115.75 Mb           108  
                                          aten::resize_         0.06%     723.493us         0.06%     723.493us       1.190us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     681.00 Mb     681.00 Mb           608  
                                           aten::expand         0.05%     586.101us         0.06%     702.156us       2.764us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           254  
                                  urEnqueueKernelLaunch         5.23%      59.638ms         5.23%      59.638ms      18.825us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3168  
                                        aten::unflatten         0.01%     109.745us         0.02%     180.404us       5.011us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36  
                                        aten::unsqueeze         0.02%     258.265us         0.03%     322.925us       4.485us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            72  
                                          aten::squeeze         0.02%     239.425us         0.02%     278.404us       3.867us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            72  
                                       aten::contiguous         0.80%       9.134ms         2.06%      23.524ms     280.048us       0.000us         0.00%     345.760us       4.116us           0 b           0 b     111.25 Mb           0 b            84  
                                            aten::clone         0.83%       9.409ms         1.70%      19.337ms     107.426us       0.000us         0.00%     733.280us       4.074us           0 b           0 b     242.50 Mb           0 b           180  
                                       aten::empty_like         0.06%     676.143us         0.13%       1.527ms       2.818us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     500.98 Mb           0 b           542  
                     aten::scaled_dot_product_attention         0.26%       2.940ms         2.64%      30.086ms     835.713us       0.000us         0.00%       1.098ms      30.502us           0 b           0 b      91.36 Mb           0 b            36  
               aten::_scaled_dot_product_attention_math         0.05%     553.468us         2.38%      27.146ms     754.049us       0.000us         0.00%       1.098ms      30.502us           0 b           0 b      91.36 Mb      -4.93 Mb            36  
                                           aten::matmul         0.08%     871.614us         1.46%      16.606ms     172.984us       0.000us         0.00%       1.638ms      17.065us           0 b           0 b     129.18 Mb           0 b            96  
                                     aten::_unsafe_view         0.03%     300.028us         0.03%     300.028us       1.563us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192  
