-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg       CPU Mem  Self CPU Mem       XPU Mem  Self XPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               TorchDynamo Cache Lookup         0.02%      77.934us         0.02%      77.934us      12.989us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                             Torch-Compiled Region: 0/0         0.01%      42.780us        18.60%      88.433ms      44.217ms       0.000us         0.00%       7.642ms       3.821ms           0 b           0 b     394.82 Mb           0 b             2  
                        DistributedDataParallel.forward         2.05%       9.731ms        18.59%      88.390ms      44.195ms       0.000us         0.00%       7.642ms       3.821ms           0 b           0 b     394.82 Mb    -280.75 Mb             2  
                             Torch-Compiled Region: 1/0         0.00%      13.998us         0.01%      37.293us      18.646us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                             Torch-Compiled Region: 2/0         0.00%      11.863us         0.00%      11.863us       5.932us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                        aten::transpose         0.53%       2.514ms         0.70%       3.328ms       2.514us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1324  
                                           aten::linear         0.13%     640.748us         5.59%      26.563ms     201.231us       0.000us         0.00%       4.639ms      35.145us           0 b           0 b     208.25 Mb           0 b           132  
                                          aten::reshape         0.30%       1.437ms         1.70%       8.087ms       8.567us       0.000us         0.00%     387.840us       0.411us           0 b           0 b     131.25 Mb           0 b           944  
                                                aten::t         0.23%       1.091ms         0.51%       2.403ms       3.663us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           656  
                                            aten::addmm         0.22%       1.042ms         3.62%      17.200ms     159.256us       0.000us         0.00%       3.418ms      31.644us           0 b           0 b     115.75 Mb     115.75 Mb           108  
                                          aten::resize_         0.19%     920.106us         0.19%     920.106us       1.513us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     681.00 Mb     681.00 Mb           608  
                                           aten::expand         0.14%     676.950us         0.17%     801.101us       3.154us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           254  
                                  urEnqueueKernelLaunch        13.00%      61.802ms        13.00%      61.802ms      19.508us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3168  
                                        aten::unflatten         0.02%     111.433us         0.04%     191.936us       5.332us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36  
                                        aten::unsqueeze         0.06%     283.604us         0.08%     360.172us       5.002us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            72  
                                          aten::squeeze         0.06%     266.973us         0.07%     311.137us       4.321us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            72  
                                       aten::contiguous         0.02%     105.989us         1.26%       6.012ms      71.576us       0.000us         0.00%     344.320us       4.099us           0 b           0 b     111.25 Mb           0 b            84  
                                            aten::clone         0.13%     625.407us         2.35%      11.163ms      62.016us       0.000us         0.00%     732.160us       4.068us           0 b           0 b     242.50 Mb           0 b           180  
                                       aten::empty_like         0.17%     808.301us         0.37%       1.739ms       3.209us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     500.98 Mb           0 b           542  
                     aten::scaled_dot_product_attention         0.08%     387.236us         5.52%      26.247ms     729.080us       0.000us         0.00%       1.108ms      30.773us           0 b           0 b      91.36 Mb           0 b            36  
               aten::_scaled_dot_product_attention_math         0.12%     560.909us         5.44%      25.860ms     718.324us       0.000us         0.00%       1.108ms      30.773us           0 b           0 b      91.36 Mb      -4.93 Mb            36  
                                           aten::matmul         0.21%     977.365us         3.95%      18.757ms     195.388us       0.000us         0.00%       1.632ms      16.998us           0 b           0 b     129.18 Mb           0 b            96  
                                     aten::_unsafe_view         0.08%     375.377us         0.08%     375.377us       1.955us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192  
                                          aten::softmax         0.02%      80.522us         1.12%       5.308ms     147.437us       0.000us         0.00%     196.800us       5.467us           0 b           0 b       4.93 Mb           0 b            36  
                                          aten::dropout         0.06%     271.859us         1.81%       8.626ms      71.886us       0.000us         0.00%     623.520us       5.196us           0 b           0 b     143.04 Mb           0 b           120  
                                          aten::permute         0.06%     295.956us         0.07%     350.250us       4.865us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            72  
                                       aten::layer_norm         0.03%     142.548us         1.58%       7.505ms     117.272us       0.000us         0.00%     816.800us      12.763us           0 b           0 b      49.34 Mb           0 b            64  
                                             aten::relu         0.03%     146.212us         0.34%       1.615ms      67.286us       0.000us         0.00%     120.320us       5.013us           0 b           0 b      63.50 Mb           0 b            24  
                                               aten::mm         0.49%       2.345ms         8.38%      39.837ms     140.270us       0.000us         0.00%       9.200ms      32.395us           0 b           0 b     569.63 Mb           0 b           284  
                                          aten::flatten         0.01%      60.053us         0.01%      60.053us       0.211us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           284  
                                   aten::_reshape_alias         0.04%     185.919us         0.04%     185.919us       1.937us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            96  
                                 aten::split_with_sizes         0.03%     139.163us         0.03%     161.346us       6.723us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            24  
                               aten::cross_entropy_loss         0.01%      30.653us         0.22%       1.025ms     512.274us       0.000us         0.00%     111.680us      55.840us           0 b           0 b       2.50 Mb      -2.50 Mb             2  
                                      aten::log_softmax         0.00%       9.774us         0.05%     254.144us     127.072us       0.000us         0.00%      35.520us      17.760us           0 b           0 b       2.50 Mb           0 b             2  
                                        aten::ones_like         0.00%       7.263us         0.07%     329.664us     164.832us       0.000us         0.00%       7.200us       3.600us           0 b           0 b       1.00 Kb           0 b             2  
      autograd::engine::evaluate_function: DivBackward1         0.01%      34.969us         0.12%     561.950us     280.975us       0.000us         0.00%       6.080us       3.040us           0 b           0 b       1.00 Kb           0 b             2  
                                           DivBackward1         0.00%      11.611us         0.11%     526.981us     263.490us       0.000us         0.00%       6.080us       3.040us           0 b           0 b       1.00 Kb           0 b             2  
      autograd::engine::evaluate_function: NegBackward0         0.00%       8.929us         0.03%     133.721us      66.860us       0.000us         0.00%       4.160us       2.080us           0 b           0 b           0 b      -1.00 Kb             2  
                                           NegBackward0         0.00%       4.131us         0.03%     124.792us      62.396us       0.000us         0.00%       4.160us       2.080us           0 b           0 b       1.00 Kb           0 b             2  
      autograd::engine::evaluate_function: SumBackward0         0.00%       6.206us         0.01%      35.595us      17.798us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                           SumBackward0         0.00%      11.242us         0.01%      29.389us      14.695us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
      autograd::engine::evaluate_function: MulBackward0         0.00%       9.926us         0.03%     139.060us      69.530us       0.000us         0.00%      13.440us       6.720us           0 b           0 b       2.50 Mb      -1.00 Kb             2  
                                           MulBackward0         0.00%       7.222us         0.03%     129.134us      64.567us       0.000us         0.00%      13.440us       6.720us           0 b           0 b       2.50 Mb           0 b             2  
autograd::engine::evaluate_function: LogSoftmaxBackw...         0.00%       9.658us         0.05%     259.487us     129.744us       0.000us         0.00%      20.640us      10.320us           0 b           0 b      -2.50 Mb      -5.00 Mb             2  
                                    LogSoftmaxBackward0         0.00%      12.347us         0.05%     249.829us     124.915us       0.000us         0.00%      20.640us      10.320us           0 b           0 b       2.50 Mb           0 b             2  
autograd::engine::evaluate_function: NativeLayerNorm...         0.16%     749.059us         2.09%       9.952ms     155.494us       0.000us         0.00%       1.141ms      17.825us           0 b           0 b     -50.09 Mb     -99.46 Mb            64  
                               NativeLayerNormBackward0         0.07%     356.406us         1.94%       9.203ms     143.790us       0.000us         0.00%       1.141ms      17.825us           0 b           0 b      49.38 Mb           0 b            64  
autograd::engine::evaluate_function: torch::autograd...         0.54%       2.568ms         5.07%      24.099ms      65.488us       0.000us         0.00%       1.151ms       3.129us           0 b           0 b           0 b           0 b           368  
                        torch::autograd::AccumulateGrad         0.13%     596.193us         0.28%       1.325ms       3.601us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           368  
                                           aten::detach         0.06%     261.535us         0.15%     728.951us       1.981us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           368  
                                                 detach         0.10%     467.416us         0.10%     467.416us       1.270us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           368  
                   torch::distributed::reducer::mul_out         0.08%     358.773us         3.93%      18.698ms      50.809us       0.000us         0.00%       1.151ms       3.129us           0 b           0 b           0 b           0 b           368  
      autograd::engine::evaluate_function: AddBackward0         0.08%     366.110us         0.52%       2.456ms      29.240us       0.000us         0.00%     833.280us       9.920us           0 b           0 b      96.00 Kb           0 b            84  
